NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC,...58,...59
Andropogon gerardii,POACEAE,ANGE,18-Oct-15,NCBG-405,405,NCBG,NA,"Maynard, L., Driskill, E.",US,65,Southeastern Plains (Omernik),Virginia,Fairfax,Mason Neck State Park,High Point Road,From visitors center head SE. Turn right onto High Point Road. Continue for 1.2 miles. Population in field on left.,"38∞38' 2.2"" N","77∞12' 37.3"" W",38.63394,-77.21036,GPS,WGS84,42,FT,VA Dept. of Conservation and Recreation,Sorghastrum nutans:Dichanthelium scoparium:Setaria sp.:Liquidambar styraciflua:Rumex crispus,NA,meadow,0 - 2,NA,Mesic meadow,Conservation/Recreation,"Fine-loamy, mixed, active, Mesic Aquic Hapludalfs",Other : loam,70 plants sampled,1000,8,P,NA,NA,E. Driskill - NCBG:In Field:18 OCT 2015,2:18 OCT 2015:Smithsonian:North Carolina University,NA,NA,NA,NA,NA,ED-54,WEB,7-Apr,5YR 4/3,20-Sep-16,ANDROPOGON,gerardii,2015,NA,NA,NA
Erechtites hieraciifolia,ASTERACEAE,ERHI2,27-Sep-16,NEWFS-412,412,NEWFS,NA,"Karlsson, C., Urban, A.",US,59,Northeastern Coastal Zone (Omernik),Massachusetts,Middlesex,"Great Meadows NWR, Concord",off of main trail,"93N to 95S. Exit 30B for 2A W. Slight right on Lexington Rd then right on Old Bedford. Left on 62W, right on Monsen then right on entrance Rd. Follow to main parking lot and take the wide gravel trail. Population on either side.","42∞28' 39.9"" N","71∞19' 58.4"" W",42.47775,-71.33288,GPS,NAD83,112,FT,US FWS,Asclepias syriaca:Asclepias incarnata:Cornus amomum:Verbena hastata:Lythrum salicaria:Oenothera biennis:Typha sp.:Acer rubrum,Trampled,freshwater marsh,0,NA,edge of freshwater marsh/trail,conservation/recreation,diorite,Sand,120 plants sampled,500+,2-Jan,P,NA,NA,::,"2:27 SEP 2016:Smithsonian, NEWFS",NA,NA,NA,NA,1,NEWFS-86,WEB,<6,7.5YR 2.5/2 very dark brown,21-Nov-16,ERECHTITES,hieraciifolia,2016,NA,NA,NA
Verbena hastata,VERBENACEAE,VEHA2,13-Oct-17,NEWFS-786,786,NEWFS,NA,"Piantedosi, M.; Cecil, A.",US,59,Northeastern Coastal Zone (Omernik),Massachusetts,Norfolk,"Grape Island, Boston Harbor Islands",Freshwater wetland area,Take ferry to the island from Boston Harbor. Turn right from the dock and the population is to the left through the Phragmites.,"42∞16' 08.2"" N","70∞55' 14.8"" W",42.26894,-70.92077,GPS,NAD83,9,FT,National Park Service,Scirpus cyperinus:Typha latifolia:Schoenoplectus americanus:Schoenoplectus americanus:Bolboschoenus maritimus:Phragmites sp.:Rosa sp.,Grazed:Flooded,Freshwater wetland/wet meadow,NA,NA,wet meadow/freshwater wetland,Conservation/recreation,Marine sediment,"Clay, Silt, Sand",63 plants sampled,150+,1,P,˚leaves are simple sometimes lobed and sometimes unlobed; flowers purple with petals that are fused into a floral tube; inflorescence ranges from open showy flowers at the base of the cone shaped inflorescence to smaller florets at the tip of the inflorescence˚,NA,M. Piantedosi - NEWFS:In Field:13 OCT 2017,2:13 OCT 2017:Smithsonian:New England Wild Flower Society,NA,NA,NA,NA,1,155,WEB,4-Mar,"10 YR 4/2 ""dark grayish brown""",14-Dec-17,VERBENA,hastata,2017,NA,NA,NA
Carex crinita,CYPERACEAE,CACR6,20-Jul-16,NEWFS-328,378,NEWFS,NA,"Charpentier, M., Green, L.",US,59,Northeastern Coastal Zone (Omernik),Massachusetts,Worcester,Crane Swamp,NW corner of Crane Swamp off Cedar Hill Trail,"From Boston: Take 90W to 9W. Turn right on Lyman St, and right for parking. Crane Camp Trail is to the left to the Cedar Hill Trail. Population in NW corner off of Cedar Hill Trail.","42∞18' 47.8"" N","71∞35' 30.1"" W",42.31327,-71.59169,GPS,NAD83,272.3,FT,Sudbury Valley Trustees,Carex intumescens:Viburnum dentatum:Vitis labrusca:Acer rubrum:Glyceria grandis,Flooded,swamp,0,NA,swamp,wetland,mafic rocks,: loamy,300 plants sampled,5000+,1,P,Drooping inflorescence with leaves that are sharp to the touch,NA,NA,"2:20 JUL 2016:Smithsonian, NEWFS",NA,NA,NA,NA,NA,NEWFS-2,WEB,3,NA,21-Nov-16,CAREX,crinita,2016,NA,NA,NA
Eleocharis quadrangulata,CYPERACEAE,ELQU,3-Oct-16,NCBG-571,571,NCBG,NA,"Dakar, J., Faucette, A.",US,65,Southeastern Plains (Omernik),Maryland,Anne Arundel,Patuxent Research Refuge,Blue Heron Pond,"From Visitor's Center continue down Switchboard Rd, turn right at the T. Population is 460 ft around Blue Heron Pond","39∞04' 11.8"" N","76∞49' 33.3"" W",39.06994,-76.82591,GPS,NAD83,111,FT,USFWS,Rhexia mariana:Aristida purpurascens var. virgata:Liquidambar styraciflua:Lespedeza cuneata:Platanus occidentalis:Asclepias syriaca:Lycopodium sp.,NA,Freshwater Pond,0-2,NA,Freshwater Pond,Conservation/Recreation,"Fien-Loamy, Mixed, Active, Mesic Typic Endoaquults",Other : Sandy Loam,100 plants sampled,5000,3,P,NA,NA,J. Dakar-NCBG:In Field:03 OCT 2016,"2:03 OCT 2016:NCU, US",NA,NA,NA,NA,1,JD-194,WEB,2+,10 YR 3/2,13-Dec-16,ELEOCHARIS,quadrangulata,2016,NA,NA,NA
Iva frutescens,ASTERACEAE,IVFR,12-Sep-17,NEWFS-712,712,NEWFS,NA,"Estevez, C.; Tokarz, E.; Kang, K.; Cecil, A.",US,59,Northeastern Coastal Zone (Omernik),New Hampshire,Rockingham,Lubberland Creek Preserve,Sweet Trail,"Take 95N to exit 2 for NH-101. Keep right to follow signs for SR-101 W. Take exit 11 to merge onto NH-108 N. Make a slight right onto Main St. in Newmarket, then turn right onto Bay Rd. The parking lot is approximately a mile down Bay road on the left. Follow the Sweet Trail across Bay Road towards the salt marsh; population is at the end of the trail at the high marsh woodland borders.","43∞4' 31.4"" N","70∞54' 40.2"" W",43.07538,-70.91116,GPS,NAD83,4,FT,The Nature Conservancy,Juncus gerardii:Triglochin maritima:Toxicodendron radicans:Quercus rubra,Flooded,saltmarsh,0,NA,saltmarsh,conservation/recreation,Metasedimentary rock,"Clay, Silt",65 plants sampled,100,2,P,Twiggy shrub; fleshy & fragrant leaves; five black seeds per ovary,NA,M Piantedosi - NEWFS:In Field:12 SEP 2017,"2:12 SEP 2017:NEWFS, Smithsonian",NA,NA,NA,NA,1,81,WEB,2,NA,7-Dec-17,IVA,frutescens,2017,NA,NA,NA
Rhynchospora capitellata,CYPERACEAE,RHCA12,23-Sep-16,MARSB-486,486,MARSB,NA,"R. Kretz, M. Giambalvo",US,67,Ridge and Valley (Omernik),New Jersey,Cape May,Cape May NWR,Cedar Swamp,"From Petersburg, take Tuckahoe Rd east about 1.3 miles to Butter Rd. Drive SE on Butter Rd. for about 1000 ft to powerline cut. Walk south along cut to the population.","39∞15' 6.4"" N","74∞41' 33.2"" W",39.25177,-74.69255,GPS,NAD83,-19,FT,US Fish and Wildlife,Phragmites australis:Typha latifolia:Typha latifolia:Eupatorium hyssopifolium:Andropogon glomeratus:Dichanthelium scoparium,Mowed:Flooded,flat,0-2,NA,freshwater meadow,Conservation/recreation,"sandy, siliceous, mesic, typic, aloquods",Sand,100 plants sampled,200,3,P,"the stem is roughly triangular in cross-section˚Leaf blade width˚1.5‚Äì3 mm˚Leaf blade cross-section˚the leaf blade is flat or rolled in at the edges˚Inflorescence position˚the inflorescence emerges from an axil, or most of its parts do so˚the inflorescence is at the tip of the plant˚Inflorescence branching˚the inflorescence is branched˚Fruit type (general)˚the fruit is like a seed, and surrounded by scales˚Fruit length˚2‚Äì3 mm˚Leaf position on plant˚some leaf attachment points are above the midpoint of the stem˚Perianth composition˚there are bristles attached at the base of the achene˚Fruit cross-section˚the fruit is biconvex or elliptic (widest in the middle and tapering to both ends) in cross-section",NA,Clara Holmes:From pressed specimen on another date:26 SEP 2016,"2:22 SEP 2016:Smithsonian, MARSB",NA,NA,NA,NA,1,NA,WEB,3.5,5YR 2.5/1,14-Nov-16,RHYNCHOSPORA,capitellata,2016,NA,NA,NA
Distichlis spicata,POACEAE,DISP,18-Oct-17,NEWFS-796,796,NEWFS,NA,"Tokarz, E.",US,59,Northeastern Coastal Zone (Omernik),Massachusetts,Essex,Parker River NWR,Salt marsh,"Take 95N to exit 56. Follow Scotland Rd to Parker St. At the traffic circle, take State St. and make right on Parker St. Right on MA 1AS, left on Rolfe‚Äôs Ln. Right on Water St., right on Sunset Dr. to enter refuge. Population is down in the marsh to the right of the entrance road/gatehouse","42∞43' 29.4"" N","70∞47' 05.8"" W",42.72483,-70.78494,GPS,NAD83,5,FT,USFWS,Spartina patens:Bolboschoenus maritimus:Salicornia depressa:Iva frutescens:Solidago sempervirens,Flooded,Salt marsh,NA,NA,Salt marsh,Conservation/recreation,Matic rock/granite,"Silt, Sand",327 plants sampled,1000+,3,P,˚inflorescence emerges from Y-oriented grass leaves. Inflorescence full and inflated.˚,NA,M. Piantedosi - NEWFS:In Field:18 OCT 2017,1:18 OCT 2017:Smithsonian,NA,NA,NA,NA,1,165,WEB,1,"7.5 YR 3/1 ""very dark grey""",14-Dec-17,DISTICHLIS,spicata,2017,NA,NA,NA
Tridens flavus,POACEAE,TRFL2,29-Oct-15,MARSB-410,410,MARSB,NA,"Feinberg, L., Russell, K.",US,84,Atlantic Coastal Pine Barrens (Omernik),New York,Suffolk,Mashomack Preserve,Meadows/Yellow Trail,"Enter the Mashomack Preserve. Go right at the fork, then turn left to park in a meadow.","41∞3' 23.6"" N","72∞18' 26.4"" W",41.05655,-72.30733,GPS,NAD83,67,FT,TNC,Juniperus virginiana:Ilex opaca:Carya ovata:Carya sp.:Rhus copallinum:Rubus sp.:Rosa multiflora:Smilax rotundifolia:Smilax rotundifolia:Morella pensylvanica:Morella pensylvanica:Schizachyrium scoparium:Panicum virgatum:Andropogon virginicus:Euthamia graminifolia:Euthamia graminifolia:Baptisia tinctoria:Solanum bahamense var. rugelii:Solidago rugosa:Solidago odora,NA,Meadow,NA,NA,Central alkaline open glade & barrens,Conservation/recreation,Riverhead sandy loam,Sand,450 +,3000 +,40,P,NA,NA,::,2:29 OCT 2015:MARSB:Smithsonian,NA,NA,NA,NA,NA,10346,WEB,3.5,NA,25-Aug-16,TRIDENS,flavus,2015,NA,NA,NA
Polygonum sagittatum,POLYGONACEAE,POSA5,22-Sep-17,NEWFS-728,728,NEWFS,NA,"Estevez, C., Cecil, A.",US,59,Northeastern Coastal Zone (Omernik),New Hampshire,Rockingham,Mast Road Natural Area,"Old Piggery Trail, pond edge","Get off of 101 W at exit 8 to Exeter Rd. Turn left. Take a right on Mast Rd and continue to parking lot. It can be found in patches all along the trail for about a mile, especially near the pond.","43∞01' 59.6"" N","71∞01' 57.4"" W",43.03322,-71.03261,GPS,NAD83,129,FT,Southeastern Land Trust of New Hampshire,Carex lurida:Juncus effusus:Sparganium americanum:Sphagnum sp.,Flooded:Excavated,Freshwater wetland/anthropogenic,NA,NA,Freshwater wetland/anthropogenic,Conservation/recreation,"Granite, granofels, migmatite","Clay, Silt, Sand",109 plants sampled,200+,3,P,˚White/pink globular inflorescences at terminal end of stem; arrow head shaped leaves; small sharp rows of spines on underside of stem ˚,NA,M. Piantedosi - NEWFS:In Field:22 SEP 2017,2:22 SEP 2017:Smithsonian :New England Wild Flower Society,NA,NA,NA,NA,1,97,WEB,3-Jan,"10 YR 2/1 ""Black""",7-Dec-17,POLYGONUM,sagittatum,2017,NA,NA,NA
Scirpus cyperinus,CYPERACEAE,SCCY,28-Sep-17,NEWFS-746,746,NEWFS,NA,"Tokarz, E.; Kang, K.; Estevez, C.",US,59,Northeastern Coastal Zone (Omernik),New Hampshire,Rockingham,Great Bay NWR,Freshwater pond,"Take 95 N to exit 4 on the left to merge onto 16 N/US-4 W. Take exit 1 for Gosling Road. Turn left onto Gosling Road. Turn right onto Arboretum Drive. At the traffic circle, take the third exit and stay on Arboretum Drive. Drive to the parking lot. Take the trail around the fenced-in weapons storage field and make a left. The trees clear out by a freshwater pond on the left of the trail. ctions were made around the fringe of this pond.","43∞05' 24.14"" N","70∞51' 01.37"" W",43.09003,-70.85038,GPS,WGS84,13,FT,USFWS,Sparganium americanum:Carex lurida:Spiraea tomentosa:Carex comosa:Carex comosa:Juncus effusus:Eleocharis obtusa:Typha angustifolia,NA,Freshwater pond,NA,NA,Freshwater pond,Conservation/recreation,"migmatite, phyllite, diorite, gabbro",Silt,89 plants sampled,100,1,P,inflorescence a nodding spray of terminal wooly brown seedheads˚,NA,M. Piantedosi - NEWFS:In Field:28 SEP 2017,1:28 SEP 2017:Smithsonian,NA,NA,NA,NA,1,115,WEB,5-Apr,"5 Y 3/2 ""dark olive grey""",19-Dec-17,SCIRPUS,cyperinus,2017,NA,NA,NA
Eleocharis palustris,CYPERACEAE,ELPA3,11-Jul-17,NEWFS-632,632,NEWFS,NA,"Piantedosi, M.; Estevez, C.; Cecil, A.; Torkarz, E.; Kang, K.",US,59,Northeastern Coastal Zone (Omernik),Massachusetts,Bristol,Rattlesnake Brook,NA,"Park at intersection between South Main St. and Narrows Rd in Freetown,MA. Walk in 0.2 and population is located by the backend of the brook.","041∞46' 51.7"" N","071∞05' 09.2"" W",41.78102,-71.08588,GPS,NAD83,12,FT,"MA DER, Town of Freetown",Eleocharis obtusa:Sagittaria cuneata:Sagittaria cuneata:Cephalanthus occidentalis:Triadenum virginicum:Eleocharis parvula,Flooded:Trampled:excavation,Freshwater marsh,9,SW,"Freshwater marsh, estuary",Conservation,Granite,"Clay, Silt",1000+,10000+,1,P,"Multiple glumes, distinct rounded tubercle on achene",NA,M. Piantedosi - NEWFS:In Field:11 JUL 2017,2:11 JUL 2017:Smithsonian:New England Wild Flower Society,NA,NA,NA,NA,1,1,WEB,1,"7.5YR 3/1 ""very dark grey""",7-Dec-17,ELEOCHARIS,palustris,2017,NA,NA,NA
Kalmia angustifolia,ERICACEAE,KAAN,2-Nov-17,NEWFS-858,858,NEWFS,NA,"Cecil, A.; Tokarz, E.",US,59,Northeastern Coastal Zone (Omernik),New Hampshire,Rockingham,Mast Rd. Natural Area,Old Piggery Trail,Get off of 101 W at exit 8 to Exeter Rd. Turn left. Take a right on Mast Rd and continue to parking lot. There is a large population at the entrance and can find more individuals along trail for a half mile.,"43∞02' 12.0"" N","071∞02' 30.7"" W",43.03666,-71.04186,GPS,NAD83,134,FT,Southeastern Land Trust of New Hampshire,Spiraea alba:Spiraea tomentosa:Scirpus cyperinus:Tsuga canadensis:Mitchella repens:Rhynchospora alba,Flooded:Excavation,Disturbed trail,NA,NA,Disturbed trail,Conservation/recreation,"Granite, granofels, migmatite","Clay, Silt, Sand",237 plants sampled,600+,3,P,˚fruits arch downward in a whorl like an umbrella under the terminal leaves˚,NA,M. Piantedosi - NEWFS:In Field:02 NOV 2017,2:02 NOV 2017:Smithsonian:New England Wild Flower Society,NA,NA,NA,NA,1,227,WEB,2-Jan,"10 YR 2/1 ""black""",15-Dec-17,KALMIA,angustifolia,2017,NA,NA,NA
Bolboschoenus maritimus,CYPERACEAE,BOMA7,29-Sep-16,NEWFS-424,424,NEWFS,NA,"Rogers, J., Heilmann, K.",US,59,Northeastern Coastal Zone (Omernik),Massachusetts,Bristol,"Rattlesnake Brook Dam, Freetown",Marsh,93S to 24S to Exit 9. Turn right on N Main St (South 79). Pull off on right near junction with Narrows Road. Walk down Narrows Rd to marsh on right side of road.,"41∞46' 56.6"" N","71∞05' 12.7"" W",41.78238,-71.08686,GPS,NAD83,9,FT,Freetown,Phragmites australis:Typha angustifolia:Symphyotrichum novi-belgii:Schoenoplectus pungens:Solidago sempervirens:Spartina alterniflora,Flooded,salt marsh,0,NA,salt marsh,conservation,granite,Clay,170 plants sampled,500,1,P,NA,NA,M. Piantedosi:In Field:,"2:29 SEP 2016:Smithsonian, NEWFS",NA,NA,NA,NA,1,NEWFS-99,WEB,<6,7.5YR 3/2 black,21-Nov-16,BOLBOSCHOENUS,maritimus,2016,NA,NA,NA
Typha angustifolia,TYPHACEAE,TYAN,8-Sep-16,NCBG-509,509,NCBG,NA,"Flood, M., Walker, S., Healy, C., Faucette, A.",US,63,Middle Atlantic Coastal Plains (Omernik),North Carolina,Currituck,Donal C. O'Brien Jr. Sanctuary and Audubon Center,Kayak Shed Road,"Along Kayak Shed Rd, west of lodge","36∞15' 31.5"" N","75∞47' 33.8"" W",36.25875,-75.79272,GPS,NAD83,0-2,FT,NC Audubon Society,Morella cerifera:Iva frutescens:Baccharis halimifolia:Solidago sempervirens:Spartina cynosuroides:Typha latifolia:Sagittaria sp.:Fimbristylis castanea:Phragmites australis,NA,Brackish Marsh,0-2,NA,Atlantic Big Cordgrass Marsh,Conservation/Recreation,"Sandy or Sandy-Skeletal, Mixed, Euic, Thermic, Terric Haplosaprists",Other : Peat,92 plants sampled,300+,1,P,NA,NA,A. Faucette:In Field:08 SEP 2016,"2:08 SEP 2016:US, NCU",NA,NA,NA,NA,1,JD-172,WEB,6-May,10 YR 3/2,8-Dec-16,TYPHA,angustifolia,2016,NA,NA,NA
Cyperus grayi,CYPERACEAE,CYGR2,8-Sep-16,NCBG-510,510,NCBG,NA,"Healy, C., Flood, M.",US,63,Middle Atlantic Coastal Plains (Omernik),North Carolina,Currituck,Currituck NWR,South Marsh Unit,"From Corolla, NC, drive N on NC-12, continue on sand onto Beach Access Rd. in 3.7 miles turn left, in 0.2 miles walk straight, population on dunes.","36∞26' 19.1"" N","75∞50' 49.1"" W",36.43863,-75.84697,GPS,WGS84,0-10,FT,USFWS,Panicum amarum:Diodia teres:Morella pensylvanica:Juncus scirpoides:Euthamia caroliniana:Diospyros virginiana,NA,Dune Shrubland,0-10,"N, NE, E, SE, S, SW, W, NW",Central Coast Beach-Heather Duen Shrubland,Conservation/Recreation,"Siliceous, Thermic Typic Psammaquents",Sand,310 plants sampled,1000+,2,P,NA,NA,M. Flood-NCBG:In Field:08 SEP 2016,"2:08 SEP 2016:US, NCU",NA,NA,NA,NA,1,MF-46,WEB,0.5,10 YR 3/2,8-Dec-16,CYPERUS,grayi,2016,NA,NA,NA
Juncus effusus,JUNCACEAE,JUEF,1-Sep-17,NEWFS-702,702,NEWFS,NA,"Tokarz, E.; Cecil, A.; Kang, K.",US,58,Northeastern Highlands (Omernik),Massachusetts,Hampshire,"Guyette Farm, Plainfield",Guyette trail,"Take 91 north to Exit 19; follow signs to Route 9 towards Northampton/Amherst, navigate west/northwest through Northampton (Damon Rd, Bridge Rd, Main St); Follow Route 9 west for about 12 miles; Turn right onto Shaw Road, left onto Stage Road, stay on this for about 2 miles, right onto Nash Road (this will change names to South St), at T-intersection turn left onto Gloyd St; park at the 1st dirt parking lot on your left (there is now a big sign that says Guyette Farm on the left); plant population is in a meadow a little less than a mile down the trail through the woods.","42∞29' 8.3"" N","72∞53' 42.8"" W",42.48563,-72.89522,GPS,NAD83,1263,FT,Franklin Land Trust,Solidago sp.:Carex crinita:Carex scoparia var. scoparia:Carex lurida:Populus tremuloides,Mowed,wet meadow,5,NE,wet meadow,conservation/recreation,Quartzite,"Clay, Silt",122,1000+,2,P,rounded stem like bract rising above inflorescence of multiple peduncled capsules holding tiny achenes˚,NA,M. Piantedosi - NEWFS:In Field:01 SEP 2017,"2:01 SEP 2017:NEWFS, Smithsonian",NA,NA,NA,NA,1,71,WEB,2-Jan,"7.5 YR 3/4 ""dark brown""",7-Dec-17,JUNCUS,effusus,2017,NA,NA,NA
Pityopsis falcata,ASTERACEAE,PIFA,4-Sep-15,MARSB-357,357,MARSB,NA,"Feinberg, L., Russell, K., Holmes, C.",US,84,Atlantic Coastal Pine Barrens (Omernik),New York,Suffolk,Heckscher State Park,Fitness trail,"Take the Southern State Parkway east. Continue onto Heckscher State Parkway, and drive into Heckscher State Park. The population is along the Fitness trail.","40∞41' 57.5"" N","73∞9' 2.8"" W",40.6993,-73.15077,GPS,NAD83,-6,FT,NYSOPRHP,Juniperus virginiana:Morella pensylvanica:Baccharis halimifolia:Toxicodendron radicans:Parthenocissus quinquefolia:Hudsonia tomentosa:Euthamia graminifolia:Euthamia caroliniana:Pseudognaphalium obtusifolium:Solidago sempervirens:Panicum virgatum:Ammophila breviligulata:Phragmites australis:Schizachyrium littorale:Juncus tenuis:Juncus secundus:Lechea maritima,NA,Dune,NA,NA,North Atlantic Coastal Shrub & Grass Dune,Conservation/recreation,"Fill land, Dune land",Sand,150 +,450 +,115,P,NA,NA,::,2:24 SEP 2015:MARSB:Smithsonian,NA,NA,24-Sep-15,NA,NA,10032,WEB,0.5,NA,24-Aug-16,PITYOPSIS,falcata,2015,NA,NA,NA
Euthamia graminifolia,ASTERACEAE,EUGR5,9-Nov-17,NEWFS-892,892,NEWFS,NA,"Kang, K.",US,59,Northeastern Coastal Zone (Omernik),Massachusetts,Essex,Marland Place Dam,Marsh off Stevens St.; bridge on Shawsheen River,"From Boston, take 93N to exit 42 and turn right onto Dascomb Rd. Merge onto Andover St and continue onto Red Spring Rd. Turn right onto Essex St and sharp left onto Railroad St. Park at Whole Foods and walk down Main St toward Stevens St. Access is across bridge on left. Population in dense back area.","42∞39' 40.0"" N","71∞08' 50.3"" W",42.66111,-71.1473,GPS,NAD83,38,FT,Town of Andover,Carex crinita:Carex lurida:Solidago rugosa:Solidago canadensis:Solidago canadensis:Typha sp.:Eutrochium dubium,Flooded,Freshwater wetland,NA,NA,Freshwater wetland,Conservation/hydrologic,"Granite, pegmatite",Clay,70 plants sampled,150+,1,P,"˚Leaves alternate, linear, with three conspicuous veins. Composite flowers are flat-headed˚",NA,M. Piantedosi - NEWFS:In Field:09 NOV 2017,2:09 NOV 2017:Smithsonian:New England Wild Flower Society,NA,NA,NA,NA,1,261,WEB,5-Mar,"7.5 YR 3/2 ""Black""",19-Dec-17,EUTHAMIA,graminifolia,2017,NA,NA,NA
Clethra alnifolia,CLETHRACEAE,CLAL3,10-Nov-17,NEWFS-902,902,NEWFS,NA,"Cecil, A.; Kang, K.",US,59,Northeastern Coastal Zone (Omernik),Rhode Island,Newport,John C. Whitehead Preserve,Hope's Path; Dundery Brook,"Take MA-24 S to Fish Rd in Tiverton; take the Fish Rd exit from RI-24 S; take RI-77 S to Meetinghouse Ln in Little Compton, a small parking area should be to your left right before the Meetinghouse Ln intersection. Follow the bog trail to Hope‚Äôs Trail to the three ponds in the back of the preserve. The ponds can also be accessed from another parking lot further along the road and to the right.","41∞30' 35.7"" N","71∞11' 23.7"" W",41.50991,-71.18991,GPS,NAD83,80,FT,TNC,::Carex lurida:Euthamia graminifolia:Spiraea tomentosa:Solidago altissima:Ilex verticillata:Celastrus orbiculatus,Flooded,Freshwater pond/wet forest,NA,NA,Freshwater pond/wet forest,Conservation/recreation,Mica schist,Silt,56 plants sampled,200+,2,P,˚terminal erect white inflorescence with parallel whorls of globular fruit˚,NA,M. Piantedosi - NEWFS:In Field:10 NOV 2017,2:10 NOV 2017:Smithsonian:New England Wild Flower Society,NA,NA,NA,NA,1,271,WEB,6-Mar,"2.5 Y 3/1 ""very dark gray""",19-Dec-17,CLETHRA,alnifolia,2017,NA,NA,NA
Triadenum virginicum,CLUSIACEAE,TRVI2,28-Sep-16,MARSB-610,610,MARSB,NA,"E. Kottler, L. Shriver",US,84,Atlantic Coastal Pine Barrens (Omernik),New York,Suffolk,Wertheim National Widlife Refuge,NA,"From Montauk Hwy (NY 80 E), turn right onto Smith Rd. Drive past the main entrance on your right to the maintenance entrance (the next right). Unlock the gate and drive on the main road until you reach the salt marsh. Population surrounds the large pond on the left.","40∞46' 18.2"" N","72∞53' 6.1"" W",40.77172,-72.88502,GPS,NAD83,-6,FT,U.S. Fish & Wildlife,Phragmites australis:Typha latifolia:Pluchea odorata:Hibiscus moscheutos:Scirpus cyperinus:Schoenoplectus pungens,Flooded,Tidal marsh,0,NA,Tidal high salt marsh,Conservation,Walpole sandy loam,Sand,200+,5000,100+,P,"Simple, opposite leaves, flowers with 5 light pink petals and 9 stamens",NA,Clara Holmes:From pressed specimen on another date:15 NOV 2016,"2:17 AUG 2016:Smithsonian, MARSB",NA,NA,NA,NA,NA,SAN 10794,WEB,NA,NA,16-Nov-16,TRIADENUM,virginicum,2016,NA,NA,NA
Clethra alnifolia,CLETHRACEAE,CLAL3,27-Nov-17,NEWFS-936,936,NEWFS,NA,"Estevez, C.; Cecil, A.",US,59,Northeastern Coastal Zone (Omernik),Rhode Island,Washington,Great Swamp WMA,"Along main trail at end of Great Neck Rd., adjacent to wetlands",From Boston: Take 93S to 95S to RI-4S. Take exit 5B to RI-103N. Turn left onto RI-2S. Turn left onto RI-130E. Turn left onto Watson Rd. Turn left onto Liberty Ln. Park and walk down trail at end of Great Neck Rd. Population along main trail and under power lines.,"41∞28' 0.4"" N","71∞34' 59.9"" W",41.46677,-71.5833,GPS,NAD83,96,FT,USFWS,Kalmia angustifolia:Ilex glabra:Ilex verticillata:Spiraea alba:Spiraea tomentosa:Chamaedaphne calyculata,Mowed:Flooded,anthropogenic/freshwater wetland,n/a,NA,anthropogenic/freshwater wetland,conservation/recreation,Augen gneiss,"Clay, Silt",99 plants sampled,200+,3,P,erect inflorescence with spherical fruits whorled and aligned in straight rows,NA,M. Piantedosi - NEWFS:In Field:27 NOV 2017,2:27 NOV 2017:Smithsonian:New England Wild Flower Society,NA,NA,NA,NA,1,305,WEB,7-Feb,"7.5YR 3/2 ""black""",19-Dec-17,CLETHRA,alnifolia,2017,NA,NA,NA
Decodon verticillatus,LYTHRACEAE,DEVE,16-Nov-17,NEWFS-918,918,NEWFS,NA,"Kang, K.",US,59,Northeastern Coastal Zone (Omernik),Massachusetts,Essex,Lynn Woods,"Tomlin Swamp, Undercliff Path","From Boston take US-1 N, take the Walnut St exit east; in about 2 miles take a left onto Pennybrook Rd, parking lot should be at the end of the road. Follow Trail 7-2 from Pennybrook Rd entrance, crossing Waycross road and continuing straight. Population is located within in Tomlin√¢‚˙¨‚¸¢s Swamp off of the Undercliff Path, shortly after Needham√¢‚˙¨‚¸¢s Clearing.","42∞29' 2.66"" N","70∞59' 41.51"" W",42.48407,-70.99486,GPS,NAD83,93,FT,Town of Lynn,Clethra alnifolia:Cephalanthus occidentalis:Lycopus americanus:Sphagnum sp.,Flooded,wetland,NA,NA,wetland,conservation/recreation,rhyolite,"Clay, Silt",60 plants sampled,100+,1,P,"Purple/pink flowers bloom in ring on trailing stem, often hanging over freshwater streams; leaves simple, entire, lanceolate and subtend flowers in whorled phyllotaxy",NA,M. Piantedosi - NEWFS:In Field:16 NOV 2017,2:16 NOV 2017:Smithsonian:New England Wild Flower Society,NA,NA,NA,NA,1,287,WEB,4-Feb,NA,19-Dec-17,DECODON,verticillatus,2017,NA,NA,NA
