Source Lot,Source Code,Lbs Shipped,Seeds/Lb,100-Seed Wt (G),Species Code,Common Name,Genus,Species,label ss,SubSpecies,label var,Variety,NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR
'SOS-AZ930-416,MUSI-SOS-AZ930-416-SANTA CRUZ-18,0.0015,7269230,0.0062,MUSI,marshland muhly,Muhlenbergia,sinuosa,,,,,Muhlenbergia sinuosa,POACEAE,MUSI,30-Oct-18,AZ930-416,416,AZ930,,"Allegra Mount, Aishah Lurry, Zach Farley, Andrew Botz",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Babocomari Ranch,Vaughn Canyon,Take main ranch road to Vaughn Canyon crossing. Population is growing in the canyon drainage.,"31°37' 37.6"" N","110°30' 2.9"" W",31.62711,-110.5008,GPS,NAD83,4679,FT,Private,Sporobolus wrightii:Bouteloua repens:Machaeranthera gracilis:Aristida adscensionis:Prosopis velutina,Grazed:Flooded,Flood plains,0-5,,Drainage in Semidesert Grassland/Shrubland,Grazing,Pima Soils,,300 plants sampled,750,0.25,P,,,Allegra Mount:In Field:30 OCT 2018,"3:30 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,0.5,2.5 YR 4/2,24-Nov-18,MUHLENBERGIA,sinuosa,2018
'SOS-AZ930-417,ERPO4-SOS-AZ930-417-SANTA CRUZ-18,0.0037,3003973,0.015,ERPO4,sorrel buckwheat,Eriogonum,polycladon,,,,,Eriogonum polycladon,POLYGONACEAE,ERPO4,30-Oct-18,AZ930-417,417,AZ930,,"Allegra Mount, Aishah Lurry, Zach Farley, Andrew Botz",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Babocomari Ranch,Vaughn Canyon,Take main ranch road to Vaughn Canyon crossing. Population is growing in the canyon drainage.,"31°37' 37.6"" N","110°30' 2.9"" W",31.62711,-110.5008,GPS,NAD83,4679,FT,Private,Sporobolus wrightii:Aristida adscensionis:Bouteloua curtipendula:Bouteloua repens:Prosopis velutina:Machaeranthera gracilis,Grazed:Flooded,Flood plains,0-5,,Drainage in Semidesert Grassland/Shrubland,Grazing,Pima Soils,Sand,180 plants sampled,1000,2,P,Flowers white,,Allegra Mount:From pressed specimen on day of collection:30 OCT 2018,"3:30 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,3-Jan,2.5YR 4/2,24-Nov-18,ERIOGONUM,polycladon,2018
'SOS-AZ930-418,BOHI2-SOS-AZ930-418-COCHISE-18,0.037,821739,0.0551,BOHI2,hairy grama,Bouteloua,hirsuta,,,,,Bouteloua hirsuta,POACEAE,BOHI2,31-Oct-18,AZ930-418,418,AZ930,,"Perin McNelis, Alex Arnold, Travis Gerckens",US,79E,Madrean Archipelago (Omernik),Arizona,Cochise,Chiricahua Mountains,Pinery Canyon,Population is on banks and hillsides above Pine creek in Pinery Canyon.,"31°57' 18.8"" N","109°18' 41.3"" W",31.95522,-109.31147,GPS,NAD83,5794,FT,USFS,Quercus arizonica:Piptochaetium fimbriatum:Bouteloua gracilis:Juniperus monosperma:Muhlenbergia richardsonis:Muhlenbergia rigens:Rhus trilobata,Grazed:Flooded,"Flood plains, Alluvial fans",20-May,"SE, S",Madrean Evergreen Woodland,"Grazing, Recreation",34 Pima Grabe Association,"Silt, Sand",400 plants sampled,1000,1.5,P,,,Perin McNelis:In Field:31 OCT 2018,"3:31 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,1.5,5.0YR 9/2,24-Nov-18,BOUTELOUA,hirsuta,2018
'SOS-AZ930-419,MUEM-SOS-AZ930-419-COCHISE-18,0.0074,1566298,0.0289,MUEM,bullgrass,Muhlenbergia,emersleyi,,,,,Muhlenbergia emersleyi,POACEAE,MUEM,31-Oct-18,AZ930-419,419,AZ930,,"Perin McNelis, Alex Arnold, Travis Gerckens",US,79E,Madrean Archipelago (Omernik),Arizona,Cochise,Chiricahua Mountains,Pinery Canyon,Population is on banks and hillsides above Pine creek in Pinery Canyon.,"31°57' 18.8"" N","109°18' 14.3"" W",31.95522,-109.30397,GPS,NAD83,5794,FT,USFS,Bouteloua gracilis:Piptochaetium fimbriatum:Muhlenbergia rigens:Juniperus monosperma:Quercus arizonica:Quercus emoryi:Rhus trilobata,Grazed:Flooded,"Flood plains, Alluvial fans",20-May,"SE, S",Madrean Evergreen Woodland,"Grazing, Recreation (Hiking)",34 Pima Grabe Association,"Silt, Sand",700 plants sampled,1000,5,,,,Perin McNelis:In Field:31 OCT 2018,"3:31 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,LJP,5-Mar,5.0YR 9/2,29-Jan-19,MUHLENBERGIA,emersleyi,2018
'SOS-AZ930-420,MABI-SOS-AZ9930-420-NAVAJO-18,0.0113,1187434,0.0381,MABI,Bigelow's tansyaster,Machaeranthera,bigelovii,,,,,Machaeranthera bigelovii,ASTERACEAE,MABI,2-Nov-18,AZ930-420,420,AZ930,,Allegra Mount,US,22E,Arizona/New Mexico Plateau (Omernik),Arizona,Navajo,Black Mesa,Yazzie Wash,Population is found where the overland road from the mine meets Yazzie Wash.,"36°34' 5"" N","110°25' 52.3"" W",36.56805,-110.43119,GPS,NAD83,6740,FT,"Private (lease, Peabody Western Coal)",Artemisia tridentata:Chenopodium graveolens:Pinus edulis:Artemisia frigida:Salsola tragus,Grazed:Flooded,Mesas,0-5,"N, NE, E, SE, S, SW, W, NW",Sagebrush scrub,Grazing,"Arabrab-Vessilla-Lindrith complex, 1 to 45 percent slopes",Sand,75 plants sampled,180,0.9,P,Flowers purple,,Allegra Mount:From pressed specimen on day of collection:04 NOV 2018,"3:02 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,0.25-1.5,5.0YR 9/6,25-Nov-18,MACHAERANTHERA,bigelovii,2018
'SOS-AZ930-421,ATCA2-SOS-AZ930-421-NAVAJO-18,0.46,60560,0.7489,ATCA2,fourwing saltbush,Atriplex,canescens,,,,,Atriplex canescens,CHENOPODIACEAE,ATCA2,1-Nov-18,AZ930-421,421,AZ930,,Allegra Mount,US,22E,Arizona/New Mexico Plateau (Omernik),Arizona,Navajo,Black Mesa,Y,Population is found on road to residences near natural area close to unit J-27.,"36°27' 36.6"" N","110°20' 14.3"" W",36.46016,-110.3373,GPS,NAD83,6920,FT,"Private (lease, Peabody Western Coal)",Eriogonum umbellatum:Tetraneuris acaulis:Pinus edulis:Artemisia tridentata:Purshia stansburiana,Grazed,Mesas,0-20,"N, NE, E, SE, S, SW, W, NW",Pinyon Juniper Woodland,Grazing,"Arabrab-Vessilla-Lindrith complex, 1 to 45 percent slopes",Sand : Loam,75 plants sampled,190,1.5,P,,,Allegra Mount:In Field:01 NOV 2018,"3:01 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,4,5.0YR 9/2,25-Nov-18,ATRIPLEX,canescens,2018
'SOS-AZ930-422,ARFR4-SOS-AZ930-422-NAVAJO-18,0.0041,4628571,0.0097,ARFR4,prairie sagewort,Artemisia,frigida,,,,,Artemisia frigida,ASTERACEAE,ARFR4,2-Nov-18,AZ930-422,422,AZ930,,Allegra Mount,US,22E,Arizona/New Mexico Plateau (Omernik),Arizona,Navajo,Black Mesa,Yazzie Wash,Population is found where the overland road from the mine meets Yazzie Wash.,"36°34' 5"" N","110°25' 52.3"" W",36.56805,-110.43119,GPS,NAD83,6740,FT,"Private (lease, Peabody Western Coal)",Chenopodium graveolens:Pinus edulis:Machaeranthera bigelovii:Salsola tragus:Chrysothamnus viscidiflorus:Artemisia tridentata,Grazed:Flooded,Mesas,0-5,"N, NE, E, SE, S, SW, W, NW",Sagebrush scrub,Grazing,"Arabrab-Vessilla-Lindrith complex, 1 to 45 percent slopes",Sand,100 plants sampled,350,3,P,,,Allegra Mount:In Field:02 NOV 2018,"3:02 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,1,5.0YR 9/6,25-Nov-18,ARTEMISIA,frigida,2018
'SOS-AZ930-423,ARFR4-SOS-AZ930-423-NAVAJO-18,0.0023,7560000,0.0059,ARFR4,prairie sagewort,Artemisia,frigida,,,,,Artemisia frigida,ASTERACEAE,ARFR4,3-Nov-18,AZ930-423,423,AZ930,,Allegra Mount,US,22E,Arizona/New Mexico Plateau (Omernik),Arizona,Navajo,Black Mesa,,"Population is found on road to tribal residences past reclamation unit J21, in sagebrush-domination clearing/flat.","36°27' 31.6"" N","110°14' 6.9"" W",36.45877,-110.23525,GPS,NAD83,7139,FT,"Private (lease, Peabody Western Coal)",Artemisia tridentata:Gutierrezia microcephala:Chenopodium graveolens:Pinus edulis:Marrubium vulgare:Salsola tragus,Grazed,Mesas,0-5,"N, NE, E, SE, S, SW, W, NW",Sagebrush Scrub,Grazing,"Arabrab-Vessilla-Lindrith complex, 1 to 45 percent slopes",Sand : Loam,78 plants sampled,120,0.25,P,,,Allegra Mount:In Field:03 NOV 2018,"3:03 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,2-Jan,7.5YR 9/2,25-Nov-18,ARTEMISIA,frigida,2018
'SOS-AZ930-424,CHVI8-SOS-AZ930-424-NAVAJO-18,0.0142,840000,0.0539,CHVI8,yellow rabbitbrush (sticky),Chrysothamnus,viscidiflorus,,,,,Chrysothamnus viscidiflorus,ASTERACEAE,CHVI8,1-Nov-18,AZ930-424,424,AZ930,,Allegra Mount,US,22E,Arizona/New Mexico Plateau (Omernik),Arizona,Navajo,Black Mesa,,Population is found on road to residences near natural area close to unit J-27.,"36°27' 36.6"" N","110°20' 14.3"" W",36.46016,-110.3373,GPS,NAD83,6920,FT,"Private (lease, Peabody Western Coal)",Pinus edulis:Artemisia tridentata:Eriogonum umbellatum:Atriplex canescens:Purshia stansburiana:Tetraneuris acaulis,,Mesas,0-20,"N, NE, E, SE, S, SW, W, NW",Pinon Juniper Woodland,Grazing,"Arabrab-Vessilla-Lindrith complex, 1 to 45 percent slopes","Clay, Sand, Other : Loam",52 plants sampled,102,0.25,P,Flowers yellow,,Allegra Mount:In Field:01 NOV 2018,"3:01 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,6-Apr,5.0YR 9/2,25-Nov-18,CHRYSOTHAMNUS,viscidiflorus,2018
'SOS-AZ930-425,ASSU2-SOS-AZ930-425-COCONINO-18,0.061,206313,0.2198,ASSU2,horsetail milkweed,Asclepias,subverticillata,,,,,Asclepias subverticillata,ASCLEPIADACEAE,ASSU2,3-Nov-18,AZ930-425,425,AZ930,,Allegra Mount,US,20E,Colorado Plateau (Omernik),Arizona,Coconino,Arizona Strip,,FS Rd 22 behind FS Tanglefoot work area storage space.,"36°55' 35"" N","112°30' 12.8"" W",36.92638,-112.50355,GPS,NAD83,4722,FT,USFS,Salsola tragus:Sphaeralcea parvifolia:Hilaria jamesii:Senecio flaccidus var. flaccidus:Gutierrezia microcephala:Sporobolus cryptandrus:Aristida purpurea var. longiseta,Grazed,Alluvial fans,0-5,"N, NE, E, SE, S, SW, W, NW",Grassland/Shrubland,"Grazing, Recreation","Clayhole silty clay loam, 1 to 5 percent slopes","Clay, Silt, Other : Silty Clay Loam",120 plants sampled,500,0.5,P,,,Allegra Mount:In Field:03 NOV 2018,"3:03 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,,,WEB,2-Jan,2.5YR 8/6,25-Nov-18,ASCLEPIAS,subverticillata,2018
'SOS-AZ930-426,CHVIV2-SOS-AZ930-426-COCONINO-18,0.0139,849438,0.0533,CHVIV2,yellow rabbitbrush,Chrysothamnus,viscidiflorus,spp.,viscidiflorus,,,Chrysothamnus viscidiflorus ssp. viscidiflorus,ASTERACEAE,CHVIV2,4-Nov-18,AZ930-426,426,AZ930,,Allegra Mount,US,20E,Colorado Plateau (Omernik),Arizona,Coconino,Arizona Strip,Johnson Wash,"Access from road just northwest of Johnson Wash, 5.7 miles southeast of Fredonia. Along wash throughout, but main population sampled is approximately 0.5 miles from second cattle gate.","36°55' 35"" N","112°30' 12.8"" W",36.92638,-112.50355,GPS,NAD83,4801,FT,BLM,Hilaria jamesii:Chrysothamnus viscidiflorus:Tamarix ramosissima:Salsola tragus:Marrubium vulgare:Gutierrezia microcephala,Grazed:Trampled,Fan terraces,0-40,,Drainage in Grassland/Shrubland,Grazing,"Doak fine sandy loam, 1 to 6 percent slopes","Clay, Silt, Sand",58 plants sampled,100,0.75,P,Flowers yellow,,Allegra Mount:In Field:04 NOV 2018,"3:04 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,2,,WEB,7-Apr,7.5YR 8/4,25-Nov-18,CHRYSOTHAMNUS,viscidiflorus,2018
'SOS-AZ930-427,GUMI-SOS-AZ930-427-COCONINO-18,0.0063,1972173,0.0229,GUMI,threadleaf snakeweed,Gutierrezia,microcephala,,,,,Gutierrezia microcephala,ASTERACEAE,GUMI,4-Nov-18,AZ930-427,427,AZ930,,Allegra Mount,US,20E,Colorado Plateau (Omernik),Arizona,Coconino,Arizona Strip,Johnson Wash,"Access from road just northwest of Johnson Wash, 5.7 miles southeast of Fredonia. Along wash and on plain throughout, but main population sampled is approximately 0.5 miles from second cattle gate.","36°55' 35"" N","112°30' 12.8"" W",36.92638,-112.50355,GPS,NAD83,4801,FT,BLM,Hilaria jamesii:Chrysothamnus viscidiflorus ssp. viscidiflorus:Tamarix ramosissima:Salsola tragus:Atriplex canescens:Marrubium vulgare,Grazed:Flooded:Trampled,Fan terraces,0-10,"N, NE, E, SE, S, SW, W, NW",Drainage in Grassland/Shrubland,Grazing,"Doak fine sandy loam, 1 to 6 percent slopes","Clay, Silt, Sand",75 plants sampled,250,1.5,P,Flowers yellow,,Allegra Mount:In Field:04 NOV 2018,"3:04 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,2,,WEB,0.5-1,7.5YR 8/4,25-Nov-18,GUTIERREZIA,microcephala,2018
'SOS-AZ930-428,ARTR2-SOS-AZ930-428-COCONINO-18,0.0063,1829032,0.0247,ARTR2,big sagebrush,Artemisia,tridentata,,,,,Artemisia tridentata,ASTERACEAE,ARTR2,4-Nov-18,AZ930-428,428,AZ930,,Allegra Mount,US,20E,Colorado Plateau (Omernik),Arizona,Coconino,Arizona Strip,Johnson Wash,"Access from road just northwest of Johnson Wash, 5.7 miles southeast of Fredonia. Along wash and on plain throughout, but main population sampled is approximately 0.5 miles from second cattle gate.","36°55' 35"" N","112°30' 12.8"" W",36.92638,-112.50355,GPS,NAD83,4801,FT,BLM,Hilaria jamesii:Chrysothamnus viscidiflorus ssp. viscidiflorus:Tamarix ramosissima:Salsola tragus:Marrubium vulgare,Grazed:Flooded:Trampled,Fan terraces,0-10,"N, NE, E, SE, S, SW, W, NW",Drainage in Grassland/Shrubland,Grazing,"Doak fine sandy loam, 1 to 6 percent slopes","Clay, Silt, Sand",62 plants sampled,1000+,1,P,,,Allegra Mount:In Field:04 NOV 2018,"3:04 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,2,,WEB,7-Apr,7.5YR 8/4,25-Nov-18,ARTEMISIA,tridentata,2018
'SOS-AZ930-429,MACA2-SOS-AZ930-429-COCONINO-18,0.01,1382926,0.0327,MACA2,hoary tansyaster (pinyon aster),Machaeranthera,canescens,,,,,Machaeranthera canescens,ASTERACEAE,MACA2,4-Nov-18,AZ930-429,429,AZ930,,Allegra Mount,US,20E,Colorado Plateau (Omernik),Arizona,Coconino,Arizona Strip,Johnson Wash,"Access from road just northwest of Johnson Wash, 5.7 miles southeast of Fredonia. Occurs in clusters in wash; main population sampled is approximately 0.5 miles from second cattle gate, down slope in heavily disturbed and grazed wash area.","36°55' 35"" N","112°30' 12.8"" W",36.92638,-112.50355,GPS,NAD83,4801,FT,BLM,Hilaria jamesii:Gutierrezia microcephala:Chrysothamnus viscidiflorus ssp. viscidiflorus:Tamarix ramosissima:Salsola tragus:Marrubium vulgare,Grazed:Flooded:Trampled,Fan terraces,0-40,"N, NE, E, SE, S, SW, W, NW",Drainage in Grassland/Shrubland,Grazing,"Doak fine sandy loam, 1 to 6 percent slopes","Clay, Silt, Sand",90 plants sampled,250,2,P,var. ambigua,,Allegra Mount:In Field:04 NOV 2018,"3:04 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,2,,WEB,0.5,7.5YR 8/4,25-Nov-18,MACHAERANTHERA,canescens,2018
'SOS-AZ930-430,SPPA2-SOS-AZ930-430-COCONINO-18,0.0282,415384,0.1091,SPPA2,small-leaf globemallow,Sphaeralcea,parvifolia,,,,,Sphaeralcea parvifolia,MALVACEAE,SPPA2,4-Nov-18,AZ930-430,430,AZ930,,Allegra Mount,US,20E,Colorado Plateau (Omernik),Arizona,,Arizona Strip,Johnson Wash,"Access from road just northwest of Johnson Wash, 5.7 miles southeast of Fredonia. Occurs in clusters all along wash; main population sampled is approximately 0.5 miles from second cattle gate, down slope in heavily disturbed and grazed wash area.","36°55' 35"" N","112°30' 12.8"" W",36.92638,-112.50355,GPS,NAD83,4801,FT,BLM,Hilaria jamesii:Gutierrezia microcephala:Chrysothamnus viscidiflorus ssp. viscidiflorus:Tamarix ramosissima:Salsola tragus:Atriplex canescens:Marrubium vulgare,Grazed:Flooded:Trampled,Fan Terraces,0-40,"N, NE, E, SE, S, SW, W, NW",Drainage in Grassland/Shrubland,Grazing,"Doak fine sandy loam, 1 to 6 percent slopes","Clay, Silt, Sand",55 plants sampled,60,5,P,Flowers orange,,Allegra Mount:In Field:04 NOV 2018,"3:04 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,1.5,7.5YR 8/4,25-Nov-18,SPHAERALCEA,parvifolia,2018
'SOS-AZ930-431,ATCA2-SOS-AZ930-431-COCONINO-18,0.506,40637,1.1161,ATCA2,fourwing saltbush,Atriplex,canescens,,,,,Atriplex canescens,CHENOPODIACEAE,ATCA2,4-Nov-18,AZ930-431,431,AZ930,,Allegra Mount,US,20E,Colorado Plateau (Omernik),Arizona,Coconino,Arizona Strip,Johnson Wash,"Access from road just northwest of Johnson Wash, 5.7 miles southeast of Fredonia. Occurs in clusters all along wash; main population sampled is approximately 0.5 miles from second cattle gate, down slope in heavily disturbed and grazed wash area.","36°55' 35"" N","112°30' 12.8"" W",36.92638,-112.50355,GPS,NAD83,4801,FT,BLM,Hilaria jamesii:Gutierrezia microcephala:Chrysothamnus viscidiflorus ssp. viscidiflorus:Tamarix ramosissima:Salsola tragus:Marrubium vulgare:Artemisia tridentata,Grazed:Flooded:Trampled,Fan terraces,0-40,,Drainage in Grassland/Shrubland,Grazing,"Doak fine sandy loam, 1 to 6 percent slopes","Clay, Silt, Sand",75 plants sampled,250,5,P,,,Allegra Mout:In Field:04 NOV 2018,"3:04 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,2,,WEB,1.5,7.5YR 8/4,25-Nov-18,ATRIPLEX,canescens,2018
'SOS-AZ930-432,ARPUL-SOS-AZ930-432-COCONINO-18,0.022,117360,0.3864,ARPUL,Fendler threeawn,Aristida,purpurea,,,var.,longiseta,Aristida purpurea var. longiseta,POACEAE,ARPUL,4-Nov-18,AZ930-432,432,AZ930,,Allegra Mount,US,20E,Colorado Plateau (Omernik),Arizona,Coconino,Arizona Strip,Johnson Wash,"Access from road just northwest of Johnson Wash, 5.7 miles southeast of Fredonia. Population sampled is approximately 0.5 miles from second cattle gate on flat plain.","36°55' 35"" N","112°30' 12.8"" W",36.92638,-112.50355,GPS,NAD83,4801,FT,BLM,Hilaria jamesii:Chrysothamnus viscidiflorus ssp. viscidiflorus:Salsola tragus:Artemisia tridentata:Tamarix ramosissima:Atriplex canescens:Marrubium vulgare:Gutierrezia microcephala,Grazed,Fan terraces,0-5,"N, NE, E, SE, S, SW, W, NW",Grassland/Shrubland,Grazing,"Doak fine sandy loam, 1 to 6 percent slopes","Clay, Sand",170 plants sampled,500,0.5,P,,,Allegra Mount:In Field:04 NOV 2018,"3:04 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,2,,WEB,0.75,7.5YR 8/4,25-Nov-18,ARISTIDA,purpurea,2018
'SOS-AZ930-433,SPCR-SOS-AZ930-433-COCONINO-18,0.0049,5154545,0.0087,SPCR,sand dropseed,Sporobolus,cryptandrus,,,,,Sporobolus cryptandrus,POACEAE,SPCR,4-Nov-18,AZ930-433,433,AZ930,,allegra Mount,US,20E,Colorado Plateau (Omernik),Arizona,Coconino,arizona Strip,johnson Wash,"Access from road just northwest of Johnson Wash, 5.7 miles southeast of Fredonia. Population sampled is approximately 0.5 miles from second cattle gate on flat plain. Ubiquitous in area.","36°55' 35"" N","112°30' 12.8"" W",36.92638,-112.50355,GPS,NAD83,4801,FT,BLM,Aristida purpurea var. longiseta:Hilaria jamesii:Gutierrezia microcephala:Chrysothamnus viscidiflorus ssp. viscidiflorus:Tamarix ramosissima:Salsola tragus:Atriplex canescens:Marrubium vulgare,Grazed,Fan terraces,0-5,"N, NE, E, SE, S, SW, W, NW",Grassland/Shrubland,Grazing,"Doak fine sandy loam, 1 to 6 percent slopes",Clay,90 plants sampled,1000,0.5,P,,,Allegra Mount:In Field:04 NOV 2018,"3:04 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,2,,WEB,1.25,7.5YR 8/4,25-Nov-18,SPOROBOLUS,cryptandrus,2018
'SOS-AZ930-434,ISTE2-SOS-AZ930-434-COCONINO-18,0.0185,790243,0.0573,ISTE2,burroweed,Isocoma,tenuisecta,,,,,Isocoma tenuisecta,ASTERACEAE,ISTE2,4-Nov-18,AZ930-434,434,AZ930,,Allegra Mount,US,20E,Colorado Plateau (Omernik),Arizona,Coconino,Arizona Strip,Johnson Wash,"Access from road just northwest of Johnson Wash, 5.7 miles southeast of Fredonia. Population sampled is directly after second cattle gate, heavily clustered","36°55' 16.3"" N","112°25' 37"" W",36.92119,-112.42694,GPS,NAD83,4792,FT,BLM,Bouteloua gracilis:Gutierrezia microcephala:Hilaria jamesii:Chrysothamnus viscidiflorus ssp. viscidiflorus:Salsola tragus:Sporobolus cryptandrus:Aristida purpurea var. longiseta:Atriplex canescens,Grazed,Fan terraces,0-5,"N, NE, E, SE, S, SW, W, NW",Grassland/Shrubland,Grazing,"Doak fine sandy loam, 1 to 6 percent slopes",Clay,52 plants sampled,80,0.5,P,Flowers yellow,,Allegra Mount:In Field:04 NOV 2018,"3:04 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,2,,WEB,2.5,7.5YR 8/4,25-Nov-18,ISOCOMA,tenuisecta,2018
'SOS-AZ930-435,BOGR2-SOS-AZ930-435-COCONINO-18,0.024,1169072,0.0387,BOGR2,blue grama,Bouteloua,gracilis,,,,,Bouteloua gracilis,POACEAE,BOGR2,4-Nov-18,AZ930-435,435,AZ930,,allegra Mount,US,20E,Colorado Plateau (Omernik),Arizona,Coconino,Arizona Strip,Johnson Wash,"Access from road just northwest of Johnson Wash, 5.7 miles southeast of Fredonia. Population sampled is directly after second cattle gate, heavily clustered","36°55' 16.3"" N","112°25' 37"" W",36.92119,-112.42694,GPS,NAD83,4792,FT,BLM,Hilaria jamesii:Chrysothamnus viscidiflorus ssp. viscidiflorus:Gutierrezia microcephala:Isocoma tenuisecta:Sporobolus cryptandrus:Salsola tragus:Atriplex canescens,Grazed,Fan Terraces,0-5,"N, NE, E, SE, S, SW, W, NW",Grassland/Shrubland,Grazing,"Doak fine sandy loam, 1 to 6 percent slopes",Clay,125 plants sampled,200,0.25,P,,,Allegra Mount:In Field:04 NOV 2018,"3:04 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,2,,WEB,1.25,7.5YR 8/4,25-Nov-18,BOUTELOUA,gracilis,2018
'SOS-AZ930-436,ATCO-SOS-AZ930-436-COCONINO-18,0.51,111067,0.4083,ATCO,shadscale saltbush,Atriplex,confertifolia,,,,,Atriplex confertifolia,CHENOPODIACEAE,ATCO,4-Nov-18,AZ930-436,436,AZ930,,Allegra Mount,US,20E,Colorado Plateau (Omernik),Arizona,Coconino,Arizona Strip,Johnson Wash,"Access from road just northwest of Johnson Wash, 5.7 miles southeast of Fredonia. Population sampled is approximately 0.5 miles from second cattle gate on flat plain. Locally common","36°55' 35"" N","112°30' 12.8"" W",36.92638,-112.50355,GPS,NAD83,4801,FT,BLM,Hilaria jamesii:Chrysothamnus viscidiflorus ssp. viscidiflorus:Salsola tragus:Tamarix ramosissima:Aristida purpurea var. longiseta:Gutierrezia microcephala,Grazed,Fan terraces,0-5,"N, NE, E, SE, S, SW, W, NW",Grassland/Shrubland,Grazing,"Doak fine sandy loam, 1 to 6 percent slopes",Clay,80 plants sampled,250,1,P,,,Allegra Mount:In Field:04 NOV 2018,"3:04 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,2,,WEB,1.75,7.5YR 8/4,25-Nov-18,ATRIPLEX,confertifolia,2018
'SOS-AZ930-437,SEFLF-SOS-AZ9390-437-COCONINO-18,0.0244,491973,0.0921,SEFLF,threadleaf ragwort,Senecio,flaccidus,,,var.,flaccidus,Senecio flaccidus var. flaccidus,ASTERACEAE,SEFLF,4-Nov-18,AZ930-437,437,AZ930,,Allegra Mount,US,20E,Colorado Plateau (Omernik),Arizona,Coconino,Arizona Strip,BLM rd 1025,Access from BLM road 1025 6.6 miles southeast of Fredonia. Population sampled is along road near cattle gate.,"36°54' 51.3"" N","112°24' 46.7"" W",36.91425,-112.41297,GPS,NAD83,4866,FT,BLM,Yucca baccata:Sphaeralcea parvifolia:Isocoma tenuisecta:Gutierrezia sarothrae:Salsola tragus:Marrubium vulgare,Grazed,Hills,0-10,"N, NE, E, SE, S, SW, W, NW",Grassland/Shrubland,Grazing,"Klondike sandy clay loam, 2 to 15 percent slopes MLRA 35","Clay, Sand, Other : Sandy Loam",56 plants sampled,100,5,P,Flowers yellow,,Allegra Mount:In Field:04 NOV 2018,"3:04 NOV 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,2,,WEB,2.5,7.5YR 8/6,25-Nov-18,SENECIO,flaccidus,2018
