Curator Unique Number,Accession Prefix (NPGS),Accession Number -Assigned,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type - Lookup Picker,Taxon -Lookup Picker in GRIN,Received Date -received by site,Life Form -Lookup Picker,Level of Improvement -Lookup Picker,Reproductive Uniformity -Lookup Picker,Note (Accession Narrative),Date Collected or Developed,Geography (Collection) -Lookup Picker in GRIN,Geography (Donor)  -Lookup Picker in GRIN,Number Plants Sampled,Collecting or Acquisition Source - List,Environment Description,Associated Species,Collector Verbatim Locality,Elevation (meters),Latitude -decimal degrees,Longitude -decimal degrees,Georeference Datum,Georeference Protocol - Lookup Picker,Note (Accession Source - Collector),Cooperator (Donor) 1 -full record,Cooperator (Donor) 2 -full record,Cooperator (Collector) 1 -full record,Cooperator (Collector) 2 -full record,Cooperator (Collector) 3 -full record,SLOPE,SLOPE Original Value,ASPECT -lookup picker,ASPECT Original Value,SOIL TEXTURE - lookup picker,Soil TEXTURE Original Value,ECOREGION - Lookup picker,Ecoregion Original Value,Inventory Maintenance Policy,Inventory Maintenance Site -W6,Quantity On Hand,Quantity On Hand Units -'count' or 'packet',"Total Weight -gram (if unknown, leave blank)",Hundred Seed Weight -gram,Seed Count Verification (VALUE CLOSE TO ZERO) -Calcuated column,Parent Inventory,GERMS from DONOR (viability),GERMS from DONOR (test date),Note (Inventory),Accession Name (Identifier 1),Accession Name Category (Identifier 1) -Lookup Picker,"Accession Name Cooperator (Identifier 1) -name, organization",Accession Name (Identifier 2),Accession Name Category (Identifier 2) -Lookup Picker,"Accession Name Cooperator (Identifier 2) -name, organization",Accession Name (Identifier 3),Accession Name Category (Identifier 3) -Lookup Picker,"Accession Name Cooperator (Identifier 3) -name, organization",Collector Voucher Number,Voucher Date,Voucher Location (3),"Voucher Collector -name, organization",Note (Voucher)
NA,W6,NA,W6,NA,NA,SD,Verbena hastata,NA,NA,Wild material,NA,"˚Square stem, upright plant with long dense pencil shaped spikes; tubular flowers purple and characteristically blooming in a ring from bottom to top; toothed lanceolate leaves˚",9-Nov-17,"United States, Massachusetts, Essex","United States, Idaho",88 plants sampled,Wild Habitat,Flooded,:Carex crinita:Solidago rugosa:Solidago canadensis:Typha sp.:Eutrochium dubium,"Sub Unit Description :Marland Place Dam/ Geology Description : Marsh off Stevens St; bridge on Shawsheen River/ Locality Description: From Boston, take 93N to exit 42 and turn right onto Descomb Rd. Merge onto Andover St and continue onto Red Spring Rd. Turn right onto Essex St and sharp left onto Railroad St. Park at Whole Foods and walk down Main St toward Stevens St. Access is across bridge on left. Population in dense back area.",11.5824,42.66111,-71.1473,"NAD83",Lat/lon determined by GPS,"Cecil, A.; Estevez, C.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Clay,Clay,Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-891,Collector identifier,NA,260,Other or unclassified name,NA,NA,1:09 NOV 2017:Smithsonian,NA,M. Piantedosi - NEWFS:In Field:09 NOV 2017,NA
NA,W6,NA,W6,NA,NA,SD,Eutrochium dubium,NA,NA,Wild material,NA,˚leaves in whorls of 3-4 up the stem˚,10-Nov-17,"United States, Rhode Island, Newport","United States, Idaho",110 plants sampled,Wild Habitat,Mowed:Flooded,Carex lurida:Euthamia graminifolia:Spiraea tomentosa:Carex lupulina:Cicuta bulbifera,"Sub Unit Description :John C. Whitehead Preserve/ Geology Description : Hope's Path, Dundery Brook/ Locality Description: Take MA-24 S to Fish Rd in Tiverton; take the Fish Rd exit from RI-24 S; take RI-77 S to Meetinghouse Ln in Little Compton, a small parking area should be to your left right before the Meetinghouse Ln intersection. Follow the bog trail to Hope‚Äôs Trail to the three ponds in the back of the preserve. The ponds can also be accessed from another parking lot further along the road and to the right.",25.2984,41.50991,-71.18991,"NAD83",Lat/lon determined by GPS,"Cecil, A.; Kang, K.; Estevez, C.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Sand,Silt,Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-901,Collector identifier,NA,270,Other or unclassified name,NA,NA,2:10 NOV 2017:Smithsonian˚New England Wild Flower Society,NA,M. Piantedosi - NEWFS:In Field:10 NOV 2017,NA
NA,W6,NA,W6,NA,NA,SD,Euthamia graminifolia,NA,NA,Wild material,NA,"Leaves lanceolate, and entire, √¢‚˙¨≈ìgrass-like√¢‚˙¨¬ù, often with two prominent lateral veins on either side of midvein on underside; flowers gold/yellow during summer",15-Nov-17,"United States, Connecticut, New London","United States, Idaho",95 plants sampled,Wild Habitat,Flooded,Solidago rugosa:Solidago sempervirens:Baccharis halimifolia:Toxicodendron radicans,"Sub Unit Description :Bluff Point State Park/ Geology Description : saltmarsh/ Locality Description: Take 95S to exit 88. Turn left onto CT-1175. Turn right onto Fort Hill Rd. Turn left onto Depot Rd. Park at parking area and walk down gravel path. Population along the waterfront, along the length of the trail.",1.524,41.33025,-72.03341,"NAD83",Lat/lon determined by GPS,"Kang, K.; Tokarz, E.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Unspecified,"Clay, Sand",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-914,Collector identifier,NA,283,Other or unclassified name,NA,NA,1:15 NOV 2017:Smithsonian,NA,M. Piantedosi - NEWFS:In Field:15 NOV 2017,NA
NA,W6,NA,W6,NA,NA,SD,Fimbristylis castanea,NA,NA,Wild material,NA,NA,10-Oct-17,"United States, Virginia, Northampton","United States, Idaho",70 plants sampled,Wild Habitat,NA,Distichlis spicata:Juncus roemerianus:Juniperus virginiana:Cyperus odoratus:Salicornia depressa:Spartina patens:Spartina alterniflora,"Sub Unit Description :Brownsville Preserve/ Geology Description : Brownsville Rd Fork/ Locality Description: From Visitor's Center turn right onto Brownsville Rd, make 1st right, population on both sides",0.3048,37.4693,-75.8333,"NAD83",Lat/lon determined by GPS,"Dakar, J., Healy, C., Faucette, A.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0-2,Undefined,NA,Clay,Other : Sandy Loam,Custom Category,Middle Atlantic Coastal Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-742,Collector identifier,NA,ALF-614,Other or unclassified name,NA,NA,"2:10 OCT 2017:NCU, US",NA,A. Faucette-NCBG:In Field:10 OCT 2017,NA
NA,W6,NA,W6,NA,NA,SD,Alnus serrulata,NA,NA,Wild material,NA,"Underside of leaves pubescent; leaves dull, not shiny.",21-Oct-15,"United States, Virginia, Spotsylvania","United States, Idaho",50 plants sampled,Wild Habitat,NA,Ilex opaca:Fagus grandifolia:Quercus sp.:Smilax rotundifolia:Acer rubrum:Ilex verticillata,"Sub Unit Description :Lake Anna State Park/ Geology Description : Fisherman's Trail/ Locality Description: From visitors center, head NW on State Park Lane 0.1 mile. Turn right, go 0.2 mile. Turn left, go 0.3 mile. Population on left abutting lake.",1.8288000000000002,38.11402,-77.83663,WGS84,Lat/lon determined by GPS,"Heraty, M., Dakar, J.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,NA,Undefined,NA,Unspecified,Other : loam,Southeastern Plains,Southeastern Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-392,Collector identifier,NA,MH40,Other or unclassified name,NA,NA,2:21 OCT 2015:Smithsonian˚North Carolina University,NA,M. Heraty - CLM Intern:In Field:21 OCT 2015,NA
NA,W6,NA,W6,NA,NA,SD,Rhynchospora alba,NA,NA,Wild material,NA,nodding white terminal inflorescence turns brown and dries up after ripening,14-Sep-17,"United States, Massachusetts, Norfolk","United States, Idaho",489 plants sampled,Wild Habitat,Flooded,Sphagnum sp.:Drosera rotundifolia:Dulichium arundinaceum:Eriophorum virginicum,Sub Unit Description :Ponkapoag Bog/ Geology Description : Bog trail/ Locality Description: Take 95-S to 93-N. Take exit 3 to Ponkapoag Trail. Turn right at the top of the exit ramp and park. Walk in up and down the hill and past the YMCA sign. Veer left to find the entrance to the bog trail. Follow the wooden planks until the trees clear into a bog meadow.,46.0248,42.19561,-71.10227,"NAD83",Lat/lon determined by GPS,"Tokarz, E.; Cecil, A.; Kang, K.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,0,0,Undefined,NA,Silt,Clay,Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-717,Collector identifier,NA,86,Other or unclassified name,NA,NA,2:14 SEP 2017:Smithsonian˚New England Wild Flower Society,NA,M. Piantedosi - NEWFS:In Field:14 SEP 2017,NA
NA,W6,NA,W6,NA,NA,SD,Suaeda maritima,NA,NA,Wild material,NA,˚succulent narrowly lance-shaped leaves interspersed with clusters of sessile round 5 merous capsules; prostrate/creeping˚,11-Oct-17,"United States, Massachusetts, Suffolk","United States, Idaho",577 plants sampled,Wild Habitat,Flooded,Spartina patens:Spartina alterniflora:Juncus gerardii:Limonium carolinianum:Atriplex sp.:Atriplex sp.,"Sub Unit Description :Thompson Island, Boston Harbor Islands/ Geology Description : Salt marsh/ Locality Description: From Boston, take a ferry from EDIC Pier along Summer St, southeast of South Station. saltmarsh is along path toward western end of island and follows the shore off-trail",2.7432000000000003,42.31533,-71.00927,"NAD83",Lat/lon determined by GPS,"Estevez, C.; Tokarz, E.; Cecil, A.; Piantedosi, M.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Clay,"Clay, Silt, Sand",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-783,Collector identifier,NA,152,Other or unclassified name,NA,NA,1:11 OCT 2017:Smithsonian,NA,M. Piantedosi - NEWFS:In Field:11 OCT 2017,NA
NA,W6,NA,W6,NA,NA,SD,Cyperus odoratus,NA,NA,Wild material,NA,NA,18-Sep-17,"United States, Virginia, Northampton","United States, Idaho",180 plants sampled,Wild Habitat,NA,Juncus roemerianus:Fimbristylis castanea:Spartina alterniflora:Juniperus virginiana:Iva frutescens:Distichlis spicata,"Sub Unit Description :Brownsville Preserve/ Geology Description : Entrace Fork/ Locality Description: From visitor's center, head SW on VA-608. Population on right after taking right fork.",1.2192,37.46888,-75.83308,"NAD83",Lat/lon determined by GPS,"Healy, C., Dakar, J., Faucette, A.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,0,0,Undefined,NA,Clay,Other : Sandy Loam,Custom Category,Middle Atlantic Coastal Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-731,Collector identifier,NA,CH-29,Other or unclassified name,NA,NA,"2:18 SEP 2017:NCU, US",NA,A. Faucette-NCBG:In Field:18 SEP 2017,NA
NA,W6,NA,W6,NA,NA,SD,Verbena hastata,NA,NA,Wild material,NA,˚trident-like inflorescence when ready˚,7-Nov-17,"United States, New Hampshire, Rockingham","United States, Idaho",84 plants sampled,Wild Habitat,Flooded,Spiraea tomentosa:Scirpus cyperinus:Eupatorium perfoliatum:Eupatorium perfoliatum:Eupatorium perfoliatum:Eupatorium perfoliatum:Sparganium americanum:Typha angustifolia,"Sub Unit Description :Great Bay NWR/ Geology Description : Ferry Way Trail/ Locality Description: Take 95 N to exit 4 on the left to merge onto 16 N/US-4 W. Take exit 1 for Gosling Road. Turn left onto Gosling Road. Turn right onto Arboretum Drive. At the traffic circle, take the third exit and stay on Arboretum Drive. Drive to the parking lot. Take the trail around the fenced-in weapons storage field and make a left to find Beaver Pond.",3.9624,43.09003,-70.85038,WGS84,Lat/lon determined by GPS,"Cecil, A.; Tokarz, E.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Clay,"Clay, Sand",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-873,Collector identifier,NA,242,Other or unclassified name,NA,NA,1:07 NOV 2017:Smithsonian,NA,M. Piantedosi - NEWFS:In Field:07 NOV 2017,NA
NA,W6,NA,W6,NA,NA,SD,Asclepias syriaca,NA,NA,Wild material,NA,NA,20-Oct-15,"United States, Virginia, King George","United States, Idaho",100 plants sampled,Wild Habitat,NA,Quercus sp.:Juniperus virginiana:Acer rubrum:Panicum virgatum:Andropogon sp.:Pinus sp.,"Sub Unit Description :CALEDON STATE PARK/ Geology Description : CHOTANK FIELD/ Locality Description: FROM VISITOR'S CENTER, GO NORTH 0.7 MILES, TURN RIGHT. GO 0.7 MILES, TURN RIGHT, GO 0.8 MILES, POPULATION IS ON RIGHT.",3.048,38.35308,-77.14416,WGS84,Lat/lon determined by GPS,"HERATY, M., DAKAR, J.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0-2,Undefined,NA,Clay,"Sand, Other : LOAM",Custom Category,Middle Atlantic Coastal Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-374,Collector identifier,NA,JD-137,Other or unclassified name,NA,NA,"2:20 OCT 2015:NCU, US",NA,J. DAKAR - NCBG:In Field:20 OCT 2015,NA
NA,W6,NA,W6,NA,NA,SD,Doellingeria umbellata var. umbellata,NA,NA,Wild material,NA,˚panicle inflorescence with tufted terminal heads; = Aster umbellatus,2-Nov-17,"United States, New Hampshire, Rockingham","United States, Idaho",74 plants sampled,Wild Habitat,Trampled:Excavated,Spiraea tomentosa:Kalmia angustifolia:Euthamia graminifolia:Tsuga canadensis:Gaultheria procumbens:Solidago rugosa:Eurybia divaricata,Sub Unit Description :Mast Road Natural Area/ Geology Description : Old Piggery Trail/ Locality Description: Get off of 101 W at exit 8 to Exeter Rd. Turn left. Take a right on Mast Rd and continue to parking lot. Population follows almost entire trail.,40.8432,43.03666,-71.04186,"NAD83",Lat/lon determined by GPS,"Estevez, C.; Kang, K.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Clay,"Clay, Silt, Sand",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-863,Collector identifier,NA,232,Other or unclassified name,NA,NA,2:02 NOV 2017:Smithsonian˚New England Wild Flower Society,NA,M. Piantedosi - NEWFS:In Field:02 NOV 2017,NA
NA,W6,NA,W6,NA,NA,SD,Rhus typhina,NA,NA,Wild material,NA,"Upper branches and stems velvety; fruit a drupe enclosed in red pubescence; sap thick, milky, and irritating to the skin",21-Nov-17,"United States, Massachusetts, Barnstable","United States, Idaho",36 plants sampled,Wild Habitat,Flooded,Smilax glauca:Panicum virgatum:Celastrus orbiculatus:Morella caroliniensis:Ilex verticillata:Ammophila breviligulata,"Sub Unit Description :Sandy Neck Beach/ Geology Description : saltmarsh/ Locality Description: Take Route 6 to exit 5. Head north on Route 149 towards West Barnstable. Travel one mile to the intersection of Route 149 and 6A. Go left to 6A for 2.5 miles, then take a right to Sandy Neck Road. Gatehouse is located at the end of this road; park in the staff lot just before. Population is adjacent to staff lot and along the road",2.4384,41.73527,-70.3855,"NAD83",Lat/lon determined by GPS,"Cecil, A.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Clay,Sand,Atlantic Coastal Pine Barrens,Atlantic Coastal Pine Barrens (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-935,Collector identifier,NA,304,Other or unclassified name,NA,NA,2:21 NOV 2017:Smithsonian˚New England Wild Flower Society,NA,M. Piantedosi - NEWFS:In Field:21 NOV 2017,NA
NA,W6,NA,W6,NA,NA,SD,Salicornia depressa,NA,NA,Wild material,NA,˚succulent green then pink then brown branching structure with seeds inside small flaps on each segment˚,19-Oct-17,"United States, Connecticut, NA","United States, Idaho",160 plants sampled,Wild Habitat,NA,Distichlis spicata:Spartina patens:Iva frutescens:Solidago sempervirens:Solidago sempervirens:Limonium carolinianum:Atriplex prostrata,"Sub Unit Description :Barn Island WMA/ Geology Description : Wequetequock Cove/ Locality Description: Take I-95 S until exit 91; Turn left onto Taugwonk Rd (signs for No Main St/Stonington/Pequot Trail), turn left onto CT-234 E, turn right onto Farmholme Rd, turn right onto US-1 S, turn left onto Greenhaven Rd, turn right onto Palmer Neck Rd: population scattered throughout marsh, in especially salty areas",0.6096,41.33825,-71.87538,"NAD83",Lat/lon determined by GPS,"Kang, K.; Tokarz, E.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Sand,"Silt, Sand",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-811,Collector identifier,NA,180,Other or unclassified name,NA,NA,2:19 OCT 2017:Smithsonian˚New England Wild Flower Society,NA,M. Piantedosi - NEWFS:In Field:19 OCT 2017,NA
NA,W6,NA,W6,NA,NA,SD,Eupatorium hyssopifolium,NA,NA,Wild material,NA,NA,17-Oct-15,"United States, Maryland, Anne Arundel","United States, Idaho",50 plants sampled,Wild Habitat,NA,Acer rubrum:Liquidambar styraciflua:Dichanthelium scoparium:Smilax rotundifolia:Quercus falcata:Pinus virginiana,"Sub Unit Description :Patuxent Wildlife Research Center/ Geology Description : Sweetgum Lane, north edge/ Locality Description: From north tract to visitor contact station, head south on Bald Eagle Dr. Turn right onto wildlife loop. In 1.3 miles, slight right onto Sweetgum Lane. Population starts in 0.4 mile.",8.2296,39.07983,-76.79647,WGS84,Lat/lon determined by GPS,"Maynard, L., Driskill, E., Harms, B.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0 - 2,Undefined,NA,Unspecified,"Sand, Other : loam",Southeastern Plains,Southeastern Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-395,Collector identifier,NA,LM-48,Other or unclassified name,NA,NA,2:17 OCT 2015:Smithsonian˚North Carolina University,NA,L. Maynard - NCBG:In Field:17 OCT 2015,NA
NA,W6,NA,W6,NA,NA,SD,Andropogon gerardii,NA,NA,Wild material,NA,NA,18-Oct-15,"United States, Virginia, Fairfax","United States, Idaho",70 plants sampled,Wild Habitat,NA,Sorghastrum nutans:Dichanthelium scoparium:Setaria sp.:Liquidambar styraciflua:Rumex crispus,Sub Unit Description :Mason Neck State Park/ Geology Description : High Point Road/ Locality Description: From visitors center head SE. Turn right onto High Point Road. Continue for 1.2 miles. Population in field on left.,12.8016,38.63394,-77.21036,WGS84,Lat/lon determined by GPS,"Maynard, L., Driskill, E.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0 - 2,Undefined,NA,Clay,Other : loam,Southeastern Plains,Southeastern Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-405,Collector identifier,NA,ED-54,Other or unclassified name,NA,NA,2:18 OCT 2015:Smithsonian˚North Carolina University,NA,E. Driskill - NCBG:In Field:18 OCT 2015,NA
NA,W6,NA,W6,NA,NA,SD,Erechtites hieraciifolia,NA,NA,Wild material,NA,NA,27-Sep-16,"United States, Massachusetts, Middlesex","United States, Idaho",120 plants sampled,Wild Habitat,Trampled,Asclepias syriaca:Asclepias incarnata:Cornus amomum:Verbena hastata:Lythrum salicaria:Oenothera biennis:Typha sp.:Acer rubrum,"Sub Unit Description :Great Meadows NWR, Concord/ Geology Description : off of main trail/ Locality Description: 93N to 95S. Exit 30B for 2A W. Slight right on Lexington Rd then right on Old Bedford. Left on 62W, right on Monsen then right on entrance Rd. Follow to main parking lot and take the wide gravel trail. Population on either side.",34.1376,42.47775,-71.33288,"NAD83",Lat/lon determined by GPS,"Karlsson, C., Urban, A.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,0,0,Undefined,NA,Silt,Sand,Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-412,Collector identifier,NA,NEWFS-86,Other or unclassified name,NA,NA,"2:27 SEP 2016:Smithsonian, NEWFS",NA,::,NA
NA,W6,NA,W6,NA,NA,SD,Verbena hastata,NA,NA,Wild material,NA,˚leaves are simple sometimes lobed and sometimes unlobed; flowers purple with petals that are fused into a floral tube; inflorescence ranges from open showy flowers at the base of the cone shaped inflorescence to smaller florets at the tip of the inflorescence˚,13-Oct-17,"United States, Massachusetts, Norfolk","United States, Idaho",63 plants sampled,Wild Habitat,Grazed:Flooded,Scirpus cyperinus:Typha latifolia:Schoenoplectus americanus:Schoenoplectus americanus:Bolboschoenus maritimus:Phragmites sp.:Rosa sp.,"Sub Unit Description :Grape Island, Boston Harbor Islands/ Geology Description : Freshwater wetland area/ Locality Description: Take ferry to the island from Boston Harbor. Turn right from the dock and the population is to the left through the Phragmites.",2.7432000000000003,42.26894,-70.92077,"NAD83",Lat/lon determined by GPS,"Piantedosi, M.; Cecil, A.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Sand,"Clay, Silt, Sand",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-786,Collector identifier,NA,155,Other or unclassified name,NA,NA,2:13 OCT 2017:Smithsonian˚New England Wild Flower Society,NA,M. Piantedosi - NEWFS:In Field:13 OCT 2017,NA
NA,W6,NA,W6,NA,NA,SD,Carex crinita,NA,NA,Wild material,NA,Drooping inflorescence with leaves that are sharp to the touch,20-Jul-16,"United States, Massachusetts, Worcester","United States, Idaho",300 plants sampled,Wild Habitat,Flooded,Carex intumescens:Viburnum dentatum:Vitis labrusca:Acer rubrum:Glyceria grandis,"Sub Unit Description :Crane Swamp/ Geology Description : NW corner of Crane Swamp off Cedar Hill Trail/ Locality Description: From Boston: Take 90W to 9W. Turn right on Lyman St, and right for parking. Crane Camp Trail is to the left to the Cedar Hill Trail. Population in NW corner off of Cedar Hill Trail.",82.99704000000001,42.31327,-71.59169,"NAD83",Lat/lon determined by GPS,"Charpentier, M., Green, L.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,0,0,Undefined,NA,Clay,: loamy,Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-328,Collector identifier,NA,NEWFS-2,Other or unclassified name,NA,NA,"2:20 JUL 2016:Smithsonian, NEWFS",NA,NA,NA
NA,W6,NA,W6,NA,NA,SD,Eleocharis quadrangulata,NA,NA,Wild material,NA,NA,3-Oct-16,"United States, Maryland, Anne Arundel","United States, Idaho",100 plants sampled,Wild Habitat,NA,Rhexia mariana:Aristida purpurascens var. virgata:Liquidambar styraciflua:Lespedeza cuneata:Platanus occidentalis:Asclepias syriaca:Lycopodium sp.,"Sub Unit Description :Patuxent Research Refuge/ Geology Description : Blue Heron Pond/ Locality Description: From Visitor's Center continue down Switchboard Rd, turn right at the T. Population is 460 ft around Blue Heron Pond",33.8328,39.06994,-76.82591,"NAD83",Lat/lon determined by GPS,"Dakar, J., Faucette, A.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0-2,Undefined,NA,Sand,Other : Sandy Loam,Southeastern Plains,Southeastern Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-571,Collector identifier,NA,JD-194,Other or unclassified name,NA,NA,"2:03 OCT 2016:NCU, US",NA,J. Dakar-NCBG:In Field:03 OCT 2016,NA
NA,W6,NA,W6,NA,NA,SD,Iva frutescens,NA,NA,Wild material,NA,Twiggy shrub; fleshy & fragrant leaves; five black seeds per ovary,12-Sep-17,"United States, New Hampshire, Rockingham","United States, Idaho",65 plants sampled,Wild Habitat,Flooded,Juncus gerardii:Triglochin maritima:Toxicodendron radicans:Quercus rubra,"Sub Unit Description :Lubberland Creek Preserve/ Geology Description : Sweet Trail/ Locality Description: Take 95N to exit 2 for NH-101. Keep right to follow signs for SR-101 W. Take exit 11 to merge onto NH-108 N. Make a slight right onto Main St. in Newmarket, then turn right onto Bay Rd. The parking lot is approximately a mile down Bay road on the left. Follow the Sweet Trail across Bay Road towards the salt marsh; population is at the end of the trail at the high marsh woodland borders.",1.2192,43.07538,-70.91116,"NAD83",Lat/lon determined by GPS,"Estevez, C.; Tokarz, E.; Kang, K.; Cecil, A.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,0,0,Undefined,NA,Sand,"Clay, Silt",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-712,Collector identifier,NA,81,Other or unclassified name,NA,NA,"2:12 SEP 2017:NEWFS, Smithsonian",NA,M Piantedosi - NEWFS:In Field:12 SEP 2017,NA
NA,W6,NA,W6,NA,NA,SD,Rhynchospora capitellata,NA,NA,Wild material,NA,"the stem is roughly triangular in cross-section˚Leaf blade width˚1.5‚Äì3 mm˚Leaf blade cross-section˚the leaf blade is flat or rolled in at the edges˚Inflorescence position˚the inflorescence emerges from an axil, or most of its parts do so˚the inflorescence is at the tip of the plant˚Inflorescence branching˚the inflorescence is branched˚Fruit type (general)˚the fruit is like a seed, and surrounded by scales˚Fruit length˚2‚Äì3 mm˚Leaf position on plant˚some leaf attachment points are above the midpoint of the stem˚Perianth composition˚there are bristles attached at the base of the achene˚Fruit cross-section˚the fruit is biconvex or elliptic (widest in the middle and tapering to both ends) in cross-section",23-Sep-16,"United States, New Jersey, Cape May","United States, Idaho",100 plants sampled,Wild Habitat,Mowed:Flooded,Phragmites australis:Typha latifolia:Typha latifolia:Eupatorium hyssopifolium:Andropogon glomeratus:Dichanthelium scoparium,"Sub Unit Description :Cape May NWR/ Geology Description : Cedar Swamp/ Locality Description: From Petersburg, take Tuckahoe Rd east about 1.3 miles to Butter Rd. Drive SE on Butter Rd. for about 1000 ft to powerline cut. Walk south along cut to the population.",-5.7912,39.25177,-74.69255,"NAD83",Lat/lon determined by GPS,"R. Kretz, M. Giambalvo","Bureau of Land Management, SOS project",NA,MARSB,NA,NA,NA,0-2,Undefined,NA,Sand,Sand,Ridge and Valley,Ridge and Valley (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARSB-486,Collector identifier,NA,NA,Other or unclassified name,NA,NA,"2:22 SEP 2016:Smithsonian, MARSB",NA,Clara Holmes:From pressed specimen on another date:26 SEP 2016,NA
